x,y,z,uuid,type,alive,display_name,custom_name
19.277918972823336,64.0,-25.771749456565512,bf03b473-0e78-441f-b67b-4aaed528c922,minecraft:sheep,true,Sheep,[null]
43.77936200103168,65.0,10.529073104960267,d29ed5a1-7e70-48a3-9a1c-c74b1106eeae,minecraft:pig,true,Pig,[null]
40.30164181598934,65.0,10.407918657941899,cd20f9b2-820f-4be1-9a93-be2df7400dc2,minecraft:enderman,true,Enderman,[null]
44.980874130012175,68.0,27.63340418280185,bf0efb5f-98bd-416e-bdb7-d811114c5579,minecraft:item,true,Armadillo Scute,[null]
9.82339681491906,73.0,38.73469593013044,b33196eb-3577-43b6-984f-1eb69ccd0bc3,minecraft:pig,true,Pig,[null]
-41.1838808562674,70.0,-45.53587188525099,30deb6a0-a924-499f-a650-36df3df21033,minecraft:cow,true,Cow,[null]
-41.985003327569004,69.0,-32.01766598299912,1afbd2bc-2907-4a12-a22e-ecd1aae99d13,minecraft:cow,true,Cow,[null]
8.842376819251166,64.0,-35.20835772082891,723ca160-f0cf-4eff-a858-727295db87dd,minecraft:sheep,true,Sheep,[null]
25.758642841456847,64.0,-44.473282403581145,8ac18b7c-f565-4a39-b0af-1744f8357d2a,minecraft:sheep,true,Sheep,[null]
-43.239340925496776,63.0,43.511907986310966,2cdd9938-408f-48ad-9713-612d06ebe690,minecraft:sheep,true,Sheep,[null]
51.91036706333859,37.0,15.305016810246213,773748e5-737f-4b22-90e4-e78554d7c8ed,minecraft:creeper,true,Creeper,[null]
48.46564695894939,38.10000002384186,15.25,c2ae4546-9390-435b-b8a0-f945a73b2f9d,minecraft:bat,true,Bat,[null]
54.773985773672536,37.48255047407526,13.056857149514888,b9a79287-dadb-48a6-bc4b-62eaafc51eb2,minecraft:bat,true,Bat,[null]
60.49690239961638,66.0,10.713228102107031,1a4308b2-0163-4ff4-ae57-a065d5cd1f48,minecraft:pig,true,Pig,[null]
-17.713104496247603,27.166109260938214,62.4761769212296,8336316e-5697-4ee3-9ed8-4cd92ceb67ce,minecraft:zombie,true,Zombie,[null]
-16.01734100592088,16.83414032759148,50.03472149647977,29d25c5a-df65-4f89-a9dc-9fe5020763b9,minecraft:bat,true,Bat,[null]
-30.028089159480594,66.0,54.50789664086873,b576c359-e1f3-4618-bf0f-7a3fcdcda72b,minecraft:chicken,true,Chicken,[null]
-30.018291839535827,66.0,54.125,c780cd7f-a771-4f5e-9649-af23ccaa9ab6,minecraft:item,true,Egg,[null]
31.99821773408422,69.0,52.62942937097124,bb2764ca-8e0a-4cd1-8680-cdb913e94ece,minecraft:armadillo,true,Armadillo,[null]
53.72204072153294,71.0,59.62461833166782,9a961267-e96a-485f-a2b9-b411169a58ad,minecraft:enderman,true,Enderman,[null]
91.38926717923422,74.04964458880809,199.30568338063435,61449326-008c-3801-afe8-234a347eaded,minecraft:player,true,GaMiR_9195,[null]
53.147343417439544,72.0,163.59517914073248,3dbb3f49-b5a3-4cf8-a2a3-393c01e22678,minecraft:chicken,true,Chicken,[null]
88.5,68.5,194.5,d3162b84-757d-49ce-acdf-d08d0a28040f,immersive_portals:portal,true,Portal,[null]
88.5,68.5,194.5,7ea5d526-b747-426e-bc21-0264967fe6b1,immersive_portals:portal,true,Portal,[null]
92.5,68.5,194.5,9d3ccf7b-4813-4643-ad44-f792ab8fd2e6,immersive_portals:portal,true,Portal,[null]
92.5,68.5,194.5,1ee6810e-7a89-4edd-a7a1-92205f736962,immersive_portals:portal,true,Portal,[null]
90.5,68.5,188.5,faac9992-61a0-4bdc-8db5-3e88acb28865,immersive_portals:nether_portal_new,true,Nether Portal,[null]
90.5,68.5,188.5,b3b622c4-18f3-4ca5-9697-9acbc620e4e3,immersive_portals:nether_portal_new,true,Nether Portal,[null]
52.71584789019167,70.0,185.23641128029018,1d060da2-a4b6-48dd-93bd-30b8764895b0,minecraft:sheep,true,Sheep,[null]
91.19871639489745,72.0,145.82438052448396,b3b64751-183e-49f1-ae61-c7f39ee095a3,minecraft:pig,true,Pig,[null]
95.5,-12.0,153.5,1fb57fc6-61e9-4eac-b789-d6bb7918cfd3,minecraft:zombie,true,Zombie,[null]
69.23958063772645,72.0,157.8131041543132,f9a3ef21-71ca-4b27-9091-dbf4e80a10ad,minecraft:pig,true,Pig,[null]
57.252730127466556,71.0,137.81573320820533,fb727403-a878-4fe1-811c-8ab4aa8eaf9b,minecraft:sheep,true,Sheep,[null]
48.13141334391977,70.0,147.13624784351023,905d8340-92e9-4843-a24a-522afee1982d,minecraft:chicken,true,Chicken,[null]
22.750363784330183,70.0,184.48158322727338,3bdc6a19-5123-45c5-be7d-e9c23c353c22,minecraft:pig,true,Pig,[null]
116.19203770797306,33.0,211.80794213901555,496b8ba0-2043-4c3c-a9c4-bc8d1fe94594,minecraft:zombie,true,Zombie,[null]
82.5,63.5,239.5,0aa0221e-009b-4aaf-a805-810cbb904673,immersive_portals:portal,true,Portal,[null]
82.5,63.5,239.5,be436b99-f0a9-414f-aaa2-978582901efd,immersive_portals:portal,true,Portal,[null]
82.5,72.5,239.5,5b953538-ede4-4452-8f82-b203a507bcc1,immersive_portals:portal,true,Portal,[null]
82.5,72.5,239.5,4d42d705-6834-4129-a7d4-ed259422df26,immersive_portals:portal,true,Portal,[null]
107.73704567358524,61.0,241.55771594734261,af763156-1f7d-4790-9c4f-ec71766769dc,minecraft:salmon,true,Salmon,[null]
106.30321458053423,61.0,242.45196879612593,f3f3ecd1-4f54-4f09-8b44-e34987ac9d64,minecraft:salmon,true,Salmon,[null]
53.0983145194215,62.03610355826095,229.59999999403954,4564690e-dfbd-4b68-be8f-0548e7d1f48d,minecraft:squid,true,Squid,[null]
59.113342848884336,60.358395643929015,229.2904297169298,63262ae2-e7ba-4b10-aac0-d1132b621d48,minecraft:squid,true,Squid,[null]
107.1854457251832,78.0,140.52056011155526,7eb2dd8e-5cb6-41ed-a34a-f2df7c7028ae,minecraft:cow,true,Cow,[null]
98.55462824874112,72.0,151.75833080400756,2c639fac-6f12-4a93-a391-f1eb9786ed92,minecraft:pig,true,Pig,[null]
